dataset,metric,k,vote,retention,num_folds,n_train_mean,n_test_mean,fit_time_s_mean,fit_time_s_std,predict_time_s_mean,predict_time_s_std,total_time_s_mean,total_time_s_std,accuracy_mean,accuracy_std,precision_macro_mean,precision_macro_std,recall_macro_mean,recall_macro_std,f1_macro_mean,f1_macro_std,precision_weighted_mean,precision_weighted_std,recall_weighted_mean,recall_weighted_std,f1_weighted_mean,f1_weighted_std,confusion_matrix_json
pen-based,heom,7,modified_plurality,RetentionPolicy.NEVER_RETAIN,10,9892.8,1099.2,0.0015825199952814728,0.00010655489491995568,0.3041951499966672,0.0061918049188081255,0.30577766999194866,0.006219485923989068,0.9919951017797681,0.0017583063602866274,0.9921265252954461,0.0017811114359250432,0.9920200329855635,0.0017637733892426153,0.9920343079706514,0.0017673978122376135,0.9920802319199865,0.0017614460975825558,0.9919951017797681,0.0017583063602866274,0.9919984620793534,0.001754742250086999,"{""labels"": [""0"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9""], ""matrix"": [[1135, 1, 0, 0, 4, 0, 1, 0, 0, 2], [0, 1119, 13, 7, 2, 0, 0, 2, 0, 0], [0, 1, 1142, 0, 0, 0, 0, 1, 0, 0], [0, 1, 2, 1047, 1, 1, 0, 1, 0, 2], [0, 0, 0, 0, 1135, 6, 0, 2, 0, 1], [0, 0, 0, 5, 0, 1049, 0, 0, 1, 0], [0, 0, 0, 0, 0, 1, 1055, 0, 0, 0], [0, 4, 2, 0, 0, 0, 0, 1136, 0, 0], [1, 0, 0, 0, 0, 1, 0, 6, 1047, 0], [0, 2, 0, 1, 4, 5, 0, 3, 1, 1039]]}"
pen-based,euclidean,3,modified_plurality,RetentionPolicy.DIFFERENT_CLASS_RETENTION,10,9892.8,1099.2,0.0016740799997933208,0.000166554380468722,0.18813209999643732,0.004270197042501172,0.18980617999623065,0.004285060655884948,0.9937236214722424,0.0017906892072403417,0.9938158319301538,0.001733825345042397,0.9937289734421692,0.0017279124606920044,0.9937394178794408,0.0017380066980274519,0.9937912072240774,0.001780405056703513,0.9937236214722424,0.0017906892072403417,0.9937241804129078,0.0017939987420015659,"{""labels"": [""0"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9""], ""matrix"": [[1136, 1, 0, 0, 3, 0, 1, 0, 0, 2], [0, 1126, 12, 4, 1, 0, 0, 0, 0, 0], [0, 1, 1142, 0, 0, 0, 0, 1, 0, 0], [0, 1, 2, 1047, 1, 1, 0, 1, 0, 2], [0, 0, 0, 0, 1141, 2, 0, 0, 0, 1], [0, 0, 0, 5, 0, 1047, 0, 1, 1, 1], [0, 0, 0, 0, 0, 1, 1055, 0, 0, 0], [0, 3, 2, 0, 0, 0, 0, 1134, 1, 2], [1, 0, 0, 0, 0, 1, 0, 3, 1050, 0], [0, 1, 0, 0, 2, 3, 0, 3, 1, 1045]]}"
pen-based,euclidean,5,modified_plurality,RetentionPolicy.DIFFERENT_CLASS_RETENTION,10,9892.8,1099.2,0.0017165600060252474,0.00010850860860311747,0.18907134999462868,0.00355743162735675,0.19078791000065393,0.0035446878659604456,0.9925409715784909,0.0018959460259975842,0.9926509064898532,0.0018747730547220907,0.9925636668204056,0.0018805062253392073,0.9925752914923995,0.0018778170278057128,0.9926102769061659,0.001889916572124438,0.9925409715784909,0.0018959460259975842,0.9925433353371529,0.0018929240651381581,"{""labels"": [""0"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9""], ""matrix"": [[1136, 1, 0, 0, 3, 0, 1, 0, 0, 2], [0, 1122, 12, 6, 1, 0, 0, 2, 0, 0], [0, 3, 1140, 0, 0, 0, 0, 1, 0, 0], [0, 1, 2, 1047, 1, 1, 0, 1, 0, 2], [0, 0, 0, 0, 1137, 5, 0, 1, 0, 1], [0, 0, 0, 4, 0, 1049, 0, 1, 1, 0], [0, 0, 0, 0, 0, 1, 1055, 0, 0, 0], [0, 4, 2, 1, 0, 0, 0, 1135, 0, 0], [1, 0, 0, 0, 0, 1, 0, 3, 1050, 0], [0, 3, 0, 2, 2, 4, 0, 4, 1, 1039]]}"
pen-based,euclidean,7,modified_plurality,RetentionPolicy.DIFFERENT_CLASS_RETENTION,10,9892.8,1099.2,0.001808299994445406,0.0001941055495694179,0.19224740999925416,0.002816366356237427,0.19405570999369956,0.0027507358002013408,0.9921770035842272,0.0016322307259249095,0.9922988710132099,0.0016605968551563018,0.9921947088055484,0.001644025942667814,0.9922113724696947,0.0016440442670961656,0.9922525147270541,0.0016417995918997996,0.9921770035842272,0.0016322307259249095,0.9921791017305639,0.0016287197898942805,"{""labels"": [""0"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9""], ""matrix"": [[1136, 1, 0, 0, 3, 0, 1, 0, 0, 2], [0, 1119, 13, 7, 2, 0, 0, 2, 0, 0], [0, 1, 1142, 0, 0, 0, 0, 1, 0, 0], [0, 1, 2, 1047, 1, 1, 0, 1, 0, 2], [0, 0, 0, 0, 1136, 5, 0, 2, 0, 1], [0, 0, 0, 5, 0, 1049, 0, 0, 1, 0], [0, 0, 0, 0, 0, 1, 1055, 0, 0, 0], [0, 4, 2, 0, 0, 0, 0, 1136, 0, 0], [1, 0, 0, 0, 0, 1, 0, 6, 1047, 0], [0, 2, 0, 1, 4, 5, 0, 3, 1, 1039]]}"
pen-based,cosine,3,modified_plurality,RetentionPolicy.DIFFERENT_CLASS_RETENTION,10,9892.8,1099.2,0.0017018999962601811,0.00018152760661955113,0.21629026000155135,0.010779872352384345,0.21799215999781155,0.0108758392950056,0.9937227945716167,0.0018830066996660907,0.9937915388723981,0.0018634242780968078,0.9937321523661492,0.0018403138564160107,0.9937331404352465,0.0018593060167466408,0.993779658387853,0.0018685088528833257,0.9937227945716167,0.0018830066996660907,0.9937225383596837,0.0018834456769334304,"{""labels"": [""0"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9""], ""matrix"": [[1136, 1, 0, 0, 3, 0, 1, 0, 0, 2], [0, 1128, 11, 3, 1, 0, 0, 0, 0, 0], [0, 2, 1141, 0, 0, 0, 0, 1, 0, 0], [0, 1, 2, 1047, 1, 1, 0, 1, 0, 2], [0, 0, 0, 0, 1140, 2, 0, 0, 0, 2], [0, 0, 0, 5, 0, 1047, 0, 0, 1, 2], [0, 0, 0, 0, 0, 1, 1055, 0, 0, 0], [0, 2, 3, 0, 0, 0, 0, 1133, 2, 2], [1, 0, 0, 0, 0, 1, 0, 2, 1051, 0], [0, 2, 0, 0, 1, 3, 0, 3, 1, 1045]]}"
pen-based,cosine,5,modified_plurality,RetentionPolicy.DIFFERENT_CLASS_RETENTION,10,9892.8,1099.2,0.0018427400063956156,0.0006193086100198401,0.21634410998958628,0.007267903300373307,0.2181868499959819,0.007578929718160001,0.993087007118629,0.0020785638013932346,0.993187444887995,0.0020393576818572576,0.9931304841266415,0.002032165072164796,0.9931307294809584,0.002036483486576156,0.9931491176816106,0.0020714710153941374,0.993087007118629,0.0020785638013932346,0.9930896763472539,0.0020756630576763686,"{""labels"": [""0"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9""], ""matrix"": [[1136, 1, 0, 0, 3, 0, 1, 0, 0, 2], [0, 1123, 12, 6, 1, 0, 0, 1, 0, 0], [0, 3, 1140, 0, 0, 0, 0, 1, 0, 0], [0, 1, 2, 1047, 1, 1, 0, 1, 0, 2], [0, 0, 0, 0, 1137, 5, 0, 1, 0, 1], [0, 0, 0, 4, 0, 1049, 0, 0, 1, 1], [0, 0, 0, 0, 0, 1, 1055, 0, 0, 0], [0, 3, 3, 1, 0, 0, 0, 1134, 1, 0], [1, 0, 0, 0, 0, 1, 0, 4, 1049, 0], [0, 3, 0, 0, 0, 2, 0, 3, 1, 1046]]}"
pen-based,cosine,7,modified_plurality,RetentionPolicy.DIFFERENT_CLASS_RETENTION,10,9892.8,1099.2,0.0017259500018553808,0.00016188799589715274,0.21484350000100677,0.001890620380716751,0.21656945000286215,0.0018174582440042392,0.9929037825457806,0.0012072559721635913,0.9929995098317483,0.0012083796549291718,0.9929476624292478,0.001188526697989015,0.9929406158099423,0.0011938750737608517,0.9929757124465702,0.001206957168712192,0.9929037825457806,0.0012072559721635913,0.9929065343006093,0.0012028498479187525,"{""labels"": [""0"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9""], ""matrix"": [[1136, 1, 0, 0, 3, 0, 1, 0, 0, 2], [0, 1122, 12, 6, 1, 0, 0, 2, 0, 0], [0, 3, 1140, 0, 0, 0, 0, 1, 0, 0], [0, 1, 2, 1047, 1, 1, 0, 1, 0, 2], [0, 0, 0, 0, 1135, 6, 0, 2, 0, 1], [0, 0, 0, 5, 0, 1048, 0, 0, 1, 1], [0, 0, 0, 0, 0, 1, 1055, 0, 0, 0], [0, 3, 2, 1, 0, 0, 0, 1136, 0, 0], [1, 1, 0, 0, 0, 1, 0, 3, 1049, 0], [0, 1, 0, 0, 0, 4, 0, 3, 1, 1046]]}"
pen-based,heom,3,modified_plurality,RetentionPolicy.DIFFERENT_CLASS_RETENTION,10,9892.8,1099.2,0.0016660600085742772,7.466807970957554e-05,0.30802778999495783,0.003664431227050439,0.3096938500035321,0.0036669526105570973,0.9937236214722424,0.0017906892072403417,0.9938158319301538,0.001733825345042397,0.9937289734421692,0.0017279124606920044,0.9937394178794408,0.0017380066980274519,0.9937912072240774,0.001780405056703513,0.9937236214722424,0.0017906892072403417,0.9937241804129078,0.0017939987420015659,"{""labels"": [""0"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9""], ""matrix"": [[1136, 1, 0, 0, 3, 0, 1, 0, 0, 2], [0, 1126, 12, 4, 1, 0, 0, 0, 0, 0], [0, 1, 1142, 0, 0, 0, 0, 1, 0, 0], [0, 1, 2, 1047, 1, 1, 0, 1, 0, 2], [0, 0, 0, 0, 1141, 2, 0, 0, 0, 1], [0, 0, 0, 5, 0, 1047, 0, 1, 1, 1], [0, 0, 0, 0, 0, 1, 1055, 0, 0, 0], [0, 3, 2, 0, 0, 0, 0, 1134, 1, 2], [1, 0, 0, 0, 0, 1, 0, 3, 1050, 0], [0, 1, 0, 0, 2, 3, 0, 3, 1, 1045]]}"
pen-based,heom,5,modified_plurality,RetentionPolicy.DIFFERENT_CLASS_RETENTION,10,9892.8,1099.2,0.0016631000064080582,0.00011428778984119116,0.3097366999980295,0.003276716510362269,0.31139980000443757,0.0032683098959867068,0.9925409715784909,0.0018959460259975842,0.9926509064898532,0.0018747730547220907,0.9925636668204056,0.0018805062253392073,0.9925752914923995,0.0018778170278057128,0.9926102769061659,0.001889916572124438,0.9925409715784909,0.0018959460259975842,0.9925433353371529,0.0018929240651381581,"{""labels"": [""0"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9""], ""matrix"": [[1136, 1, 0, 0, 3, 0, 1, 0, 0, 2], [0, 1122, 12, 6, 1, 0, 0, 2, 0, 0], [0, 3, 1140, 0, 0, 0, 0, 1, 0, 0], [0, 1, 2, 1047, 1, 1, 0, 1, 0, 2], [0, 0, 0, 0, 1137, 5, 0, 1, 0, 1], [0, 0, 0, 4, 0, 1049, 0, 1, 1, 0], [0, 0, 0, 0, 0, 1, 1055, 0, 0, 0], [0, 4, 2, 1, 0, 0, 0, 1135, 0, 0], [1, 0, 0, 0, 0, 1, 0, 3, 1050, 0], [0, 3, 0, 2, 2, 4, 0, 4, 1, 1039]]}"
pen-based,heom,7,modified_plurality,RetentionPolicy.DIFFERENT_CLASS_RETENTION,10,9892.8,1099.2,0.0017181899951538072,0.00012456496364162935,0.3073803300067084,0.003183135949964863,0.3090985200018622,0.0031735808171581893,0.9921770035842272,0.0016322307259249095,0.9922988710132099,0.0016605968551563018,0.9921947088055484,0.001644025942667814,0.9922113724696947,0.0016440442670961656,0.9922525147270541,0.0016417995918997996,0.9921770035842272,0.0016322307259249095,0.9921791017305639,0.0016287197898942805,"{""labels"": [""0"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9""], ""matrix"": [[1136, 1, 0, 0, 3, 0, 1, 0, 0, 2], [0, 1119, 13, 7, 2, 0, 0, 2, 0, 0], [0, 1, 1142, 0, 0, 0, 0, 1, 0, 0], [0, 1, 2, 1047, 1, 1, 0, 1, 0, 2], [0, 0, 0, 0, 1136, 5, 0, 2, 0, 1], [0, 0, 0, 5, 0, 1049, 0, 0, 1, 0], [0, 0, 0, 0, 0, 1, 1055, 0, 0, 0], [0, 4, 2, 0, 0, 0, 0, 1136, 0, 0], [1, 0, 0, 0, 0, 1, 0, 6, 1047, 0], [0, 2, 0, 1, 4, 5, 0, 3, 1, 1039]]}"
