dataset,fold,metric,k,vote,retention,n_train,n_test,fit_time_s,predict_time_s,total_time_s,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,confusion_matrix_json
adult,0,heom,3,modified_plurality,never_retain,43958,4884,0.0008932000055210665,45.157332699993276,45.1582258999988,0.8181818181818182,0.7509711921946627,0.7356800338949097,0.7426444356621771,0.8132866524143634,0.8181818181818182,0.8153270418205316,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3321, 394], [494, 675]]}"
adult,0,heom,5,modified_plurality,never_retain,43958,4884,0.000526399991940707,44.829404000003706,44.829930399995646,0.8241195741195741,0.7602169075807246,0.7398762559480155,0.7489092844629571,0.8183226893692642,0.8241195741195741,0.8205461709073069,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3349, 366], [493, 676]]}"
adult,0,heom,7,modified_plurality,never_retain,43958,4884,0.0005615999980363995,44.834443599989754,44.83500519998779,0.8284193284193284,0.7669346042221374,0.7441682679632083,0.7541807610993658,0.8224059393766548,0.8284193284193284,0.8246022932888684,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3365, 350], [488, 681]]}"
adult,1,heom,3,modified_plurality,never_retain,43959,4883,0.0005080999981146306,44.7760236000031,44.776531700001215,0.821421257423715,0.7564000998665246,0.7338371605302458,0.7436956478818234,0.8148984708655228,0.821421257423715,0.8173167440154039,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3350, 365], [507, 661]]}"
adult,1,heom,5,modified_plurality,never_retain,43959,4883,0.0005126999894855544,45.03718070000468,45.03769339999417,0.8273602293671923,0.7653750837663897,0.7418491537454599,0.7521392780132022,0.8211026396595221,0.8273602293671923,0.8233614947784857,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3365, 350], [493, 675]]}"
adult,1,heom,7,modified_plurality,never_retain,43959,4883,0.0005053000058978796,45.26143259998935,45.261937899995246,0.8314560720868319,0.7726402072088839,0.7430734803370269,0.7556315975961261,0.8244217515725664,0.8314560720868319,0.8266334124960626,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3390, 325], [498, 670]]}"
adult,2,heom,3,modified_plurality,never_retain,43957,4885,0.0004583000118145719,45.23384739999892,45.23430570001074,0.8104401228249745,0.7396979910610544,0.7278186147634331,0.7333165665375316,0.8061574688532938,0.8104401228249745,0.808032764006714,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3293, 422], [504, 666]]}"
adult,2,heom,5,modified_plurality,never_retain,43957,4885,0.000512800004798919,45.23007309999957,45.23058590000437,0.8219037871033776,0.7573621764057266,0.7347701050258251,0.7446443171937029,0.815424530320722,0.8219037871033776,0.8178208527054717,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3351, 364], [506, 664]]}"
adult,2,heom,7,modified_plurality,never_retain,43957,4885,0.0004636999947251752,45.01856770001177,45.0190314000065,0.8294779938587513,0.7695267220598041,0.7417992430778433,0.7536670374490175,0.822596630487046,0.8294779938587513,0.8248621976197823,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3381, 334], [499, 671]]}"
adult,3,heom,3,modified_plurality,never_retain,43958,4884,0.00043590000132098794,44.95910900000308,44.9595449000044,0.8220720720720721,0.756274591684212,0.7430599075453057,0.7491723631676981,0.8179567035415585,0.8220720720720721,0.819718682304935,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3324, 392], [477, 691]]}"
adult,3,heom,5,modified_plurality,never_retain,43958,4884,0.0004786999925272539,45.082639400003245,45.08311809999577,0.8316953316953317,0.7716423362071048,0.7487968540336494,0.7588742071881607,0.825902986031219,0.8316953316953317,0.8280054386502589,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3373, 343], [479, 689]]}"
