dataset,k,metric,vote,avg_f1,avg_accuracy,avg_recall,std_f1,std_accuracy,std_recall,n_folds,timestamp
adult,-1,baseline,baseline,-1.0,-1.0,-1.0,0.0,0.0,0.0,0,2025-10-08T16:45:04.911954
adult,1,euclidean,modified_plurality,0.8187500000000001,0.8,0.8,0.026516504294495515,0.0,0.0,2,2025-10-08T16:46:37.972644
adult,1,euclidean,borda,0.8187500000000001,0.8,0.8,0.026516504294495515,0.0,0.0,2,2025-10-08T16:48:10.937607
adult,1,cosine,modified_plurality,0.8505050505050505,0.8500000000000001,0.8500000000000001,0.07142492739258055,0.07071067811865474,0.07071067811865474,2,2025-10-08T16:49:10.060272
adult,1,cosine,borda,0.8505050505050505,0.8500000000000001,0.8500000000000001,0.07142492739258055,0.07071067811865474,0.07071067811865474,2,2025-10-08T16:50:29.813380
