dataset,metric,k,vote,retention,fold_id,num_folds,n_train,n_test,fit_time_s,predict_time_s,total_time_s,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,confusion_matrix_json
adult,cosine,7,borda,RetentionPolicy.DD_RETENTION,7,10,43958,4884,0.06314509999356233,48.71056570002111,48.77371080001467,0.7977067977067978,0.7214352007669634,0.6800834414674787,0.6950181710161232,0.7837236716011614,0.7977067977067978,0.7873437252884727,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3365, 351], [637, 531]]}"
adult,cosine,7,borda,RetentionPolicy.DD_RETENTION,8,10,43958,4884,0.062206000002333894,48.50280440002098,48.56501040002331,0.7911547911547911,0.7104857656163626,0.6684395136912573,0.6830902051152603,0.7756139902906072,0.7911547911547911,0.779635985349736,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3358, 358], [662, 506]]}"
adult,cosine,7,borda,RetentionPolicy.DD_RETENTION,9,10,43957,4885,0.06145530001958832,48.75991609998164,48.821371400001226,0.7830092118730808,0.6973332251355477,0.666162243618502,0.6778495147056555,0.769129532757221,0.7830092118730808,0.7737403886902837,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3308, 407], [653, 517]]}"
adult,cosine,7,borda,RetentionPolicy.DIFFERENT_CLASS_RETENTION,0,10,43958,4884,0.06844760000240058,48.0216510000173,48.0900986000197,0.7854217854217854,0.7008809965036014,0.6619691975403164,0.6755658989336794,0.7694727264544288,0.7854217854217854,0.7739800745138053,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3339, 376], [672, 497]]}"
adult,cosine,7,borda,RetentionPolicy.DIFFERENT_CLASS_RETENTION,1,10,43959,4883,0.06233950000023469,48.16041919999407,48.2227586999943,0.7907024370264182,0.7096267575460317,0.6713857879016943,0.6851815823605707,0.7760895047737576,0.7907024370264182,0.7802511320011486,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3344, 371], [651, 517]]}"
adult,cosine,7,borda,RetentionPolicy.DIFFERENT_CLASS_RETENTION,2,10,43957,4885,0.06062100001145154,47.55504489998566,47.61566589999711,0.7930399181166837,0.71364188975088,0.6824182397533676,0.6945392450304608,0.7809305951091785,0.7930399181166837,0.7849084638496523,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3324, 391], [620, 550]]}"
adult,cosine,7,borda,RetentionPolicy.DIFFERENT_CLASS_RETENTION,3,10,43958,4884,0.06457240000599995,47.614842500013765,47.679414900019765,0.7899262899262899,0.7082707707707707,0.6702739541707832,0.6839666717793887,0.7752135837721422,0.7899262899262899,0.7794352386246166,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3343, 373], [653, 515]]}"
adult,cosine,7,borda,RetentionPolicy.DIFFERENT_CLASS_RETENTION,4,10,43957,4885,0.06030589999863878,47.59247649999452,47.65278239999316,0.7971340839303992,0.7209629318195319,0.6763950954004647,0.6920051515758234,0.7823384219892183,0.7971340839303992,0.7858255407514032,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3374, 342], [649, 520]]}"
adult,cosine,7,borda,RetentionPolicy.DIFFERENT_CLASS_RETENTION,5,10,43958,4884,0.06175590000930242,47.644061399973,47.7058172999823,0.7858312858312858,0.7013484082104761,0.6617123103351668,0.6754827995206816,0.769729085522364,0.7858312858312858,0.7742074986496913,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3343, 373], [673, 495]]}"
adult,cosine,7,borda,RetentionPolicy.DIFFERENT_CLASS_RETENTION,6,10,43958,4884,0.06386809999821708,47.60439249998308,47.668260599981295,0.7932022932022932,0.7137799303679604,0.6805674173667662,0.6932411107308026,0.7805156847495484,0.7932022932022932,0.7845256051972356,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3331, 384], [626, 543]]}"
