config_id,instance_reduction_method,metric,k,vote,retention,fold_id,num_folds,n_train,n_test,fit_time_s,predict_time_s,total_time_s,memory_before_ir,memory_after_ir,memory_after_training,percentage_memory_reduction,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,confusion_matrix_json
ir_k_ibl-IBL3,IBL3,cosine,7,borda,always_retain,0,10,9894,1098,1.2734939000220038,0.04617739998502657,1.3196713000070304,1.2832489013671875,0.10546875,0.239501953125,91.78111511432954,0.9744990892531876,0.9752042923732134,0.9747212987349423,0.9746390586512955,0.9750669462782202,0.9744990892531876,0.9744606682490219,"{""labels"": [""0"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9""], ""matrix"": [[115, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 104, 1, 2, 0, 0, 0, 7, 0, 0], [0, 6, 108, 0, 0, 0, 0, 0, 0, 0], [0, 1, 0, 104, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 114, 1, 0, 0, 0, 0], [0, 0, 0, 0, 0, 105, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 105, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 113, 0, 1], [1, 0, 0, 0, 0, 1, 0, 1, 103, 0], [0, 0, 0, 0, 0, 5, 0, 0, 1, 99]]}"
ir_k_ibl-IBL3,IBL3,cosine,7,borda,always_retain,1,10,9893,1099,1.4595372000476345,0.04805559996748343,1.507592800015118,1.2831192016601562,0.1148681640625,0.2490234375,91.04774023224978,0.9745222929936306,0.9761744795642622,0.9751035093887304,0.9751219744451426,0.9756873392868606,0.9745222929936306,0.9745714003671131,"{""labels"": [""0"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9""], ""matrix"": [[113, 0, 0, 0, 1, 0, 0, 0, 0, 1], [0, 111, 2, 0, 0, 0, 0, 1, 0, 0], [0, 14, 100, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 103, 0, 0, 0, 1, 0, 1], [0, 0, 0, 0, 114, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 104, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 105, 1, 0, 0], [0, 1, 1, 0, 0, 0, 0, 111, 0, 1], [0, 0, 0, 0, 0, 0, 0, 0, 105, 0], [0, 0, 0, 1, 0, 0, 0, 0, 0, 105]]}"
ir_k_ibl-IBL3,IBL3,cosine,7,borda,always_retain,2,10,9895,1097,1.0803669999586418,0.04287150001619011,1.123238499974832,1.2833786010742188,0.092529296875,0.2264404296875,92.79017923490771,0.9726526891522334,0.9740828890788104,0.972497548218372,0.9725973879120113,0.973963212192168,0.9726526891522334,0.9726119942629128,"{""labels"": [""0"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9""], ""matrix"": [[113, 0, 0, 0, 0, 0, 0, 0, 1, 0], [0, 113, 0, 0, 1, 0, 0, 1, 0, 0], [0, 10, 105, 0, 0, 0, 0, 0, 0, 0], [0, 1, 0, 101, 0, 3, 0, 0, 0, 0], [0, 0, 0, 0, 114, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 104, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 105, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 114, 0, 0], [1, 0, 0, 0, 0, 0, 0, 1, 103, 0], [0, 0, 0, 2, 0, 6, 0, 2, 0, 95]]}"
ir_k_ibl-IBL3,IBL3,cosine,7,borda,always_retain,3,10,9892,1100,1.1582955000340007,0.04309220000868663,1.2013877000426874,1.282989501953125,0.0950927734375,0.2293701171875,92.58818772150995,0.980909090909091,0.9815446235229809,0.9811801036635888,0.9812022493971992,0.9813354820691366,0.980909090909091,0.9809560895957832,"{""labels"": [""0"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9""], ""matrix"": [[114, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 112, 0, 0, 0, 0, 0, 2, 0, 0], [0, 5, 109, 0, 0, 0, 0, 1, 0, 0], [0, 1, 0, 103, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 111, 0, 1, 1, 0, 2], [0, 0, 0, 0, 0, 104, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 105, 0, 0, 0], [0, 1, 1, 0, 0, 0, 0, 113, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1, 105, 0], [0, 0, 0, 1, 0, 2, 0, 0, 0, 103]]}"
ir_k_ibl-IBL3,IBL3,cosine,7,borda,always_retain,4,10,9894,1098,1.0756969000212848,0.05234110000310466,1.1280380000243895,1.2832489013671875,0.0870361328125,0.2210693359375,93.2175174496724,0.9754098360655737,0.9773990785081565,0.9757600523046748,0.9760547243247737,0.9766958446739492,0.9754098360655737,0.9755143483880362,"{""labels"": [""0"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9""], ""matrix"": [[114, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 109, 0, 0, 0, 0, 0, 6, 0, 0], [0, 12, 102, 0, 0, 0, 0, 0, 0, 0], [0, 1, 1, 101, 0, 2, 0, 0, 0, 0], [0, 0, 0, 0, 114, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 106, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 106, 0, 0, 0], [0, 1, 0, 0, 0, 0, 0, 113, 0, 0], [0, 0, 0, 0, 0, 1, 0, 0, 104, 0], [0, 0, 0, 0, 0, 1, 0, 2, 0, 102]]}"
ir_k_ibl-IBL3,IBL3,cosine,7,borda,always_retain,5,10,9894,1098,1.2092898999690078,0.048598800029139966,1.2578886999981478,1.2832489013671875,0.1009521484375,0.2349853515625,92.13308124947977,0.9681238615664846,0.9702206497388695,0.9683208020050126,0.9685976979213556,0.9699786795589443,0.9681238615664846,0.9683695766152703,"{""labels"": [""0"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9""], ""matrix"": [[113, 0, 0, 0, 1, 0, 0, 0, 0, 0], [0, 110, 1, 1, 0, 0, 0, 2, 0, 0], [0, 11, 103, 0, 0, 0, 0, 0, 0, 0], [0, 2, 0, 101, 0, 2, 0, 0, 0, 0], [0, 0, 0, 0, 110, 0, 0, 2, 0, 2], [0, 1, 0, 0, 0, 104, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 108, 0, 0, 0], [0, 2, 0, 0, 0, 0, 0, 112, 0, 0], [0, 0, 0, 0, 0, 1, 0, 0, 104, 0], [0, 0, 0, 0, 0, 6, 0, 1, 0, 98]]}"
ir_k_ibl-IBL3,IBL3,cosine,7,borda,always_retain,6,10,9890,1102,1.1391195000032894,0.04631200002040714,1.1854315000236966,1.2827301025390625,0.09765625,0.232177734375,92.38684351394754,0.9782214156079855,0.9796496239743947,0.9786134703406528,0.9786167444137437,0.9793433619592896,0.9782214156079855,0.9782512057742979,"{""labels"": [""0"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9""], ""matrix"": [[114, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 113, 0, 0, 0, 0, 0, 2, 0, 0], [0, 11, 103, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 108, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 109, 0, 0, 1, 0, 4], [0, 0, 0, 1, 0, 105, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1, 103, 1, 0, 0], [0, 1, 0, 0, 0, 0, 0, 113, 0, 0], [0, 0, 0, 0, 0, 1, 0, 0, 104, 0], [0, 0, 0, 0, 0, 1, 0, 0, 0, 106]]}"
ir_k_ibl-IBL3,IBL3,cosine,7,borda,always_retain,7,10,9892,1100,1.1626747000264004,0.04580349999014288,1.2084782000165433,1.282989501953125,0.097412109375,0.231689453125,92.4074118122785,0.9663636363636363,0.9686383587164986,0.9669539653800499,0.967200771780161,0.9678937461729091,0.9663636363636363,0.9665146479191338,"{""labels"": [""0"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9""], ""matrix"": [[112, 0, 0, 0, 2, 0, 0, 0, 0, 0], [0, 107, 1, 0, 0, 0, 0, 6, 0, 0], [0, 13, 101, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 105, 0, 2, 0, 0, 0, 0], [0, 1, 0, 0, 110, 0, 0, 1, 0, 2], [0, 0, 0, 0, 0, 106, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 105, 0, 0, 0], [0, 1, 0, 1, 0, 0, 0, 113, 0, 0], [1, 0, 0, 0, 0, 0, 0, 3, 102, 0], [0, 0, 0, 1, 0, 1, 0, 1, 0, 102]]}"
ir_k_ibl-IBL3,IBL3,cosine,7,borda,always_retain,8,10,9894,1098,1.3322727999766357,0.05038179998518899,1.3826545999618247,1.2832489013671875,0.121826171875,0.255859375,90.50642694919084,0.9717668488160291,0.9745799699491249,0.9723125492155328,0.9722527759148172,0.9741707729379028,0.9717668488160291,0.9717321080408948,"{""labels"": [""0"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9""], ""matrix"": [[113, 0, 0, 0, 0, 0, 1, 0, 0, 0], [0, 111, 0, 0, 0, 0, 0, 2, 0, 1], [0, 17, 97, 1, 0, 0, 0, 0, 0, 0], [0, 1, 0, 103, 1, 0, 0, 0, 0, 0], [0, 0, 0, 0, 114, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 106, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 105, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 114, 0, 0], [0, 1, 0, 0, 0, 3, 0, 1, 101, 0], [0, 0, 0, 0, 0, 2, 0, 0, 0, 103]]}"
ir_k_ibl-IBL3,IBL3,cosine,7,borda,always_retain,9,10,9890,1102,1.1117422000388615,0.04713849996915087,1.1588807000080124,1.2827301025390625,0.0902099609375,0.2247314453125,92.96734669600905,0.97005444646098,0.9727496730305202,0.9705810465458148,0.9706568892740453,0.9723485468454268,0.97005444646098,0.9701557895312652,"{""labels"": [""0"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9""], ""matrix"": [[113, 0, 0, 0, 1, 0, 0, 0, 0, 1], [0, 111, 0, 1, 0, 1, 0, 1, 0, 0], [0, 17, 98, 0, 0, 0, 0, 0, 0, 0], [0, 1, 0, 101, 0, 2, 0, 0, 0, 1], [0, 0, 1, 0, 113, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 105, 0, 0, 1, 0], [0, 0, 0, 0, 0, 0, 106, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 114, 0, 0], [0, 1, 0, 0, 0, 0, 0, 0, 105, 0], [0, 1, 0, 0, 0, 0, 0, 2, 0, 103]]}"
