config_id,metric,k,vote,retention,fold_id,num_folds,n_train,n_test,fit_time_s,predict_time_s,total_time_s,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,confusion_matrix_json
c-k7-b-AR,cosine,7,borda,RetentionPolicy.ALWAYS_RETAIN,0,10,43958,4884,0.0638034000003244,51.54242339999837,51.60622679999869,0.7874692874692875,0.7043783642701908,0.6639013455496237,0.6779647666371582,0.7715369326717465,0.7874692874692875,0.775857501903521,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3347, 368], [670, 499]]}"
c-k7-b-AR,cosine,7,borda,RetentionPolicy.ALWAYS_RETAIN,1,10,43959,4883,0.0613250999995216,51.60086239999873,51.662187499998254,0.792135981978292,0.7120967769431933,0.6720344217260643,0.6863293506851207,0.7773319306150002,0.792135981978292,0.7813538534720416,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3352, 363], [652, 516]]}"
c-k7-b-AR,cosine,7,borda,RetentionPolicy.ALWAYS_RETAIN,2,10,43957,4885,0.0588806000014301,51.38063079999847,51.4395113999999,0.7926305015353122,0.7129821973224695,0.6821490607493299,0.6941447994995562,0.7805730390102603,0.7926305015353122,0.7845654747091517,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3322, 393], [620, 550]]}"
c-k7-b-AR,cosine,7,borda,RetentionPolicy.ALWAYS_RETAIN,3,10,43958,4884,0.0613333000001148,51.3848545999972,51.44618789999731,0.7899262899262899,0.7082601301257223,0.6708610119881446,0.6844166444143268,0.7753844446972856,0.7899262899262899,0.7796144407190301,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3341, 375], [651, 517]]}"
c-k7-b-AR,cosine,7,borda,RetentionPolicy.ALWAYS_RETAIN,4,10,43957,4885,0.0588869999992311,51.4065225000013,51.46540950000053,0.7975435005117707,0.7218199759823893,0.6757847138262304,0.691729887499385,0.782527504146171,0.7975435005117707,0.7858973481361936,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3379, 337], [652, 517]]}"
c-k7-b-AR,cosine,7,borda,RetentionPolicy.ALWAYS_RETAIN,5,10,43958,4884,0.059940800001641,51.589712099998,51.64965289999964,0.7862407862407862,0.7020520463143414,0.660807301266644,0.6749250189285606,0.7697644545632623,0.7862407862407862,0.7741666477289634,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3349, 367], [677, 491]]}"
c-k7-b-AR,cosine,7,borda,RetentionPolicy.ALWAYS_RETAIN,6,10,43958,4884,0.0604299000005994,51.49368139999933,51.55411129999993,0.7940212940212941,0.7151386481303852,0.6808126488802821,0.6938182914958666,0.7811594293395416,0.7940212940212941,0.7851271119789512,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3336, 379], [627, 542]]}"
c-k7-b-AR,cosine,7,borda,RetentionPolicy.ALWAYS_RETAIN,7,10,43958,4884,0.0603693999983079,51.59305070000119,51.65342009999949,0.7977067977067978,0.7214049773755655,0.6803769703761594,0.6952364495132768,0.7837981218569453,0.7977067977067978,0.7874308164614021,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3364, 352], [636, 532]]}"
c-k7-b-AR,cosine,7,borda,RetentionPolicy.ALWAYS_RETAIN,8,10,43958,4884,0.0593761000018275,51.37406759999794,51.43344369999977,0.7901310401310402,0.7087098688704494,0.6674732183670761,0.6818828397775767,0.7745705496234605,0.7901310401310402,0.7786944980789543,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3354, 362], [663, 505]]}"
c-k7-b-AR,cosine,7,borda,RetentionPolicy.ALWAYS_RETAIN,9,10,43957,4885,0.0603135000019392,57.42689649999738,57.48720999999932,0.7840327533265097,0.6989929520039508,0.6674207129792594,0.6792576855271182,0.7702092384027375,0.7840327533265097,0.7747636122998444,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3311, 404], [651, 519]]}"
