config_id,instance_reduction_method,metric,k,vote,retention,fold_id,num_folds,n_train,n_test,fit_time_s,predict_time_s,total_time_s,memory_before_ir,memory_after_ir,memory_after_training,percentage_memory_reduction,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,confusion_matrix_json
ir_k_ibl-IBL3,IBL3,cosine,7,borda,always_retain,0,10,43958,4884,751.9223232999793,34.60360019997461,786.5259234999539,36.55564880371094,16.079864501953125,20.104156494140625,56.01264092371743,0.7725225225225225,0.7969058545403978,0.5294975517144906,0.4934929898548759,0.7837085834269815,0.7725225225225225,0.689467938867794,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3699, 16], [1095, 74]]}"
ir_k_ibl-IBL3,IBL3,cosine,7,borda,always_retain,1,10,43959,4883,536.35521780001,31.834186599997338,568.1894044000073,36.556480407714844,19.7259521484375,23.749420166015625,46.03979396147077,0.773704689739914,0.7923897785010622,0.5325455391876694,0.4995948600224452,0.7822229506705464,0.773704689739914,0.6927763033789457,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3696, 19], [1086, 82]]}"
ir_k_ibl-IBL3,IBL3,cosine,7,borda,always_retain,2,10,43957,4885,625.2734169000178,27.533499700017273,652.806916600035,36.55481719970703,18.32684326171875,22.351959228515625,49.86476567070446,0.7737973387922211,0.8186351453926961,0.5312909088817568,0.49624365944590326,0.7943920568441071,0.7737973387922211,0.6910517438188705,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3703, 12], [1093, 77]]}"
ir_k_ibl-IBL3,IBL3,cosine,7,borda,always_retain,3,10,43958,4884,569.2941803999711,29.390301900042687,598.6844823000138,36.55564880371094,19.85614013671875,23.88043212890625,45.68242997590277,0.7745700245700246,0.8592763568309421,0.529855622484038,0.49254509122051227,0.8136845244268825,0.7745700245700246,0.6899083238968532,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3712, 4], [1097, 71]]}"
ir_k_ibl-IBL3,IBL3,cosine,7,borda,always_retain,4,10,43957,4885,637.5865926999832,29.255710900004487,666.8423035999876,36.55481719970703,19.8248291015625,23.849945068359375,45.76684929579846,0.7754350051177072,0.8410370117687191,0.5331408534614609,0.49921272542971157,0.8055542530216121,0.7754350051177072,0.693131729389283,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3708, 8], [1089, 80]]}"
ir_k_ibl-IBL3,IBL3,cosine,7,borda,always_retain,5,10,43958,4884,642.4540487999911,28.60979590000352,671.0638446999947,36.55564880371094,19.421905517578125,23.446197509765625,46.870302803635326,0.7745700245700246,0.8288118292323507,0.5316167959361222,0.49668877643426057,0.7994682797037717,0.7745700245700246,0.6917952576274066,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3706, 10], [1091, 77]]}"
ir_k_ibl-IBL3,IBL3,cosine,7,borda,always_retain,6,10,43958,4884,864.0637509999797,36.58806039998308,900.6518113999628,36.55564880371094,18.106842041015625,22.131134033203125,50.46773170887473,0.7782555282555282,0.8116223908918406,0.5423529791023606,0.5173126912099871,0.7932979663292756,0.7782555282555282,0.7023197820253443,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3696, 19], [1064, 105]]}"
ir_k_ibl-IBL3,IBL3,cosine,7,borda,always_retain,7,10,43958,4884,639.8875643000356,38.25619899999583,678.1437633000314,36.55564880371094,18.41583251953125,22.44012451171875,49.62247115783164,0.773955773955774,0.8065384444543153,0.5318001939041833,0.497703681152821,0.7888594315858564,0.773955773955774,0.692041155603932,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3701, 15], [1089, 79]]}"
ir_k_ibl-IBL3,IBL3,cosine,7,borda,always_retain,8,10,43958,4884,578.6209893000196,29.682534600025974,608.3035239000455,36.22027587890625,17.90326690673828,21.890296936035156,50.57114703766052,0.7686322686322686,0.7563142226063575,0.5221377014612855,0.48024996581409723,0.7629526281211674,0.7686322686322686,0.6822285550336411,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3696, 20], [1110, 58]]}"
ir_k_ibl-IBL3,IBL3,cosine,7,borda,always_retain,9,10,43957,4885,776.1801391000045,35.2187173999846,811.398856499989,36.55481719970703,17.615753173828125,21.640869140625,51.81003620510703,0.7735926305015353,0.7932311331390176,0.5329128849317275,0.5001774372364345,0.7825539297182972,0.7735926305015353,0.6927713112634706,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3696, 19], [1087, 83]]}"
